BookingID,Hotel,City,CheckIn,Nights,Rooms,CostPerNight,SellPerNight
B001,Bangkok Grand Palace,Bangkok,2026-05-01,3,2,80,120
B002,Phuket Beach Resort,Phuket,2026-05-03,5,1,140,160
B003,Chiang Mai Lodge,Chiang Mai,2026-05-02,2,3,65,85
B004,Krabi Seaview Resort,Krabi,2026-05-06,4,1,110,140
B005,Pattaya Beach Hotel,Pattaya,2026-05-04,3,2,85,110
B006,Bangkok Luxury Suites,Bangkok,2026-05-08,2,1,150,180
B007,Phuket Ocean View,Phuket,2026-05-10,6,2,120,150
B008,Chiang Mai Boutique Stay,Chiang Mai,2026-05-07,3,1,90,110
B009,Krabi Island Hotel,Krabi,2026-05-09,5,1,130,155
B010,Pattaya City Resort,Pattaya,2026-05-11,4,2,95,120
